s.no,Names,Prices,Reviews,Ratings,Images
0,OLA S1 Air,"1,00,013onwards",4,4.5,https://imgd.aeplcdn.com/310x174/n/cw/ec/133353/s1-air-right-front-three-quarter-2.jpeg?isig=0
1,OLA S1 Pro,"1,39,828onwards",72,4.1,https://imgd.aeplcdn.com/310x174/n/cw/ec/107243/s1-pro-right-front-three-quarter-5.jpeg?isig=0
2,OLA S1,"1,29,828onwards",60,3.7,https://imgd.aeplcdn.com/310x174/n/cw/ec/98491/s1-right-front-three-quarter-14.jpeg?isig=0
3,Bajaj Chetak,"1,40,988onwards",23,4.1,https://imgd.aeplcdn.com/310x174/n/cw/ec/50277/chetak-right-front-three-quarter-15.png?isig=0
4,Evolet Pony,"41,124onwards",2,4.5,https://imgd.aeplcdn.com/310x174/bw/models/evolet-pony-ez20190904180558.jpg
5,Revolt RV 400,"1,35,189onwards",71,4.2,https://imgd.aeplcdn.com/310x174/n/cw/ec/40710/rv-400-right-side-view-2.jpeg?isig=0
6,Ampere Magnus EX,"1,04,743onwards",98,3,https://imgd.aeplcdn.com/310x174/n/cw/ec/105937/right-front-three-quarter.jpeg?isig=0
7,Hero Electric Optima CX,"67,329onwards",27,3.2,https://imgd.aeplcdn.com/310x174/n/cw/ec/100393/optima-cx-right-side-view-4.png?isig=0
8,Ather 450X Gen 3,"1,44,852onwards",33,4.4,https://imgd.aeplcdn.com/310x174/n/cw/ec/147925/450x-left-front-three-quarter.jpeg?isig=0
9,BGauss C12i,"1,20,000onwards",0,Not rated yet,https://imgd.aeplcdn.com/310x174/n/cw/ec/150493/c12i-right-front-three-quarter-7.png?isig=0
10,TVS iQube,"1,31,828onwards",55,3.1,https://imgd.aeplcdn.com/310x174/n/cw/ec/44860/iqube-left-front-three-quarter-2.jpeg?isig=0
11,Evolet Derby,"49,124onwards",2,4.1,https://imgd.aeplcdn.com/310x174/bw/models/evolet-derby-ez20190904180506.jpg
12,Simple Energy One,"1,45,000onwards",11,4.7,https://imgd.aeplcdn.com/310x174/n/cw/ec/1/versions/simpleenergy-one-standard.jpg
13,Evolet Polo,"49,699onwards",3,4.5,https://imgd.aeplcdn.com/310x174/bw/models/evolet-polo-ez20190904180534.jpg
14,iVOOMi S1,"69,999onwards",0,5,https://imgd.aeplcdn.com/310x174/n/cw/ec/131385/s1-right-side-view.gif?isig=0
15,Okaya Faast,"1,39,951onwards",4,4.1,https://imgd.aeplcdn.com/310x174/n/cw/ec/130543/faast-right-side-view.gif?isig=0
16,iVOOMi Jeet X,"99,999onwards",0,5,https://imgd.aeplcdn.com/310x174/n/cw/ec/131399/jeet-x-left-front-three-quarter.gif?isig=0
17,Odysse E2Go,"59,750onwards",0,4.8,https://imgd.aeplcdn.com/310x174/bw/models/odysse-e2go-lead-acid20210402183643.jpg
18,Odysse Vader,"1,09,999onwards",0,5,https://imgd.aeplcdn.com/310x174/n/cw/ec/145243/vader-left-front-three-quarter.png?isig=0
19,Yo Drift,"51,094onwards",6,3.4,https://imgd.aeplcdn.com/310x174/bw/models/yo-drift-dx20200921231133.jpg
20,Okinawa Lite,"67,006onwards",10,3.6,https://imgd.aeplcdn.com/310x174/bw/models/okinawa-lite-standard20191107181833.jpg
